council,cst,posts,totalYouth,primaryYouth
"Aloha Council, BSA 104",1,6,43,40
Blue Mountain Council 604,1,2,18,18
Cascade Pacific Council 492,1,1,8,8
Chief Seattle Council 609,1,6,230,230
Crossroads of the West 590,1,3,29,29
Far East Council 803,1,0,0,0
Grand Teton Council 107,1,2,21,21
Great Alaska Council 610,1,5,71,71
Inland Northwest Council 611,1,0,0,0
Midnight Sun Council 696,1,0,0,0
"Mount Baker Council, BSA 606",1,1,14,14
Mountain West Council 106,1,2,27,27
Pacific Crest Council 697,1,6,84,90
"Pacific Harbors Council, BSA 612",1,5,33,34
California Inland Empire Council 045,3,10,195,196
Golden Gate Area 023,3,41,438,408
Greater California Council 047,3,13,141,142
Greater Los Angeles Area 033,3,61,628,634
Greater Yosemite Council 059,3,14,100,107
Las Vegas Area Council 328,3,6,96,107
Long Beach Area Council 032,3,3,104,122
Los Padres Council 053,3,2,8,8
Marin Council 035,3,4,66,66
Nevada Area Council 329,3,4,43,46
Orange County Council 039,3,4,45,45
Pacific Skyline Council 031,3,5,35,43
Piedmont Council 042,3,1,7,7
San Diego Imperial Council 049,3,19,225,245
Sequoia Council 027,3,14,106,139
Silicon Valley Monterey Bay 055,3,18,137,134
Ventura County Council 057,3,8,188,190
Verdugo Hills Council 058,3,3,49,49
W.L.A.C.C. 051,3,7,60,62
Central Minnesota 296,4,7,43,44
Chippewa Valley Council 637,4,3,82,82
Gamehaven 299,4,2,23,25
Gateway Area 624,4,8,22,16
Hawkeye Area Council 172,4,0,0,0
Illowa Council 133,4,11,67,65
Mid Iowa Council 177,4,1,2,2
Montana Council 315,4,1,16,16
Northeast Iowa Council 178,4,4,42,42
Northern Lights Council 429,4,13,320,321
Northern Star Council 250,4,56,660,651
Sioux Council 733,4,4,90,90
"Winnebago Council, BSA 173",4,1,12,14
Adventure West Council 062,5,2,21,21
Cornhusker Council 324,5,1,12,14
Coronado Area Council 192,5,5,21,18
Great Rivers Council 653,5,3,23,22
Greater Colorado Council 061,5,4,30,31
Greater St. Louis Area Council 312,5,35,998,997
Heart of America Council 307,5,12,291,291
Jayhawk Area Council 197,5,1,36,37
Mid-America Council 326,5,3,59,59
Ozark Trails Council 306,5,3,244,276
Pathway to the Rockies 060,5,0,0,0
Pony Express Council 311,5,1,7,7
"Quivira Council, BSA 198",5,4,15,16
Abraham Lincoln Council 144,6,1,11,11
BAY-LAKES COUNCIL 635,6,6,57,57
Blackhawk Area 660,6,9,225,224
Glaciers Edge Council 620,6,1,10,10
Mississippi Valley Council 141 141,6,4,24,24
Northeast Illinois 129,6,2,42,44
Pathway to Adventure 456,6,27,256,248
Potawatomi Area Council 651,6,4,38,41
Prairielands 117,6,3,59,34
Rainbow Council 702,6,1,10,10
"Samoset Council, BSA 627",6,0,0,0
Three Fires Council 127,6,10,132,131
Three Harbors Council 636,6,5,39,40
W D Boyce 138,6,4,17,17
Alamo Area Council 583,7,2,13,15
Bay Area Council 574,7,1,5,5
Buffalo Trail Council 567,7,1,114,123
Calcasieu Area Council 209,7,3,6,8
Capitol Area Council 564,7,10,68,68
Evangeline Area 212,7,5,70,64
Istrouma Area Council 211,7,2,78,78
Louisiana Purchase Council 213,7,0,0,0
Norwela Council 215,7,1,12,12
