unitId,cst,owner,serviceArea,council,district,unitType,unitNumber,postName,totalYouth,totalAdults,primaryYouth,primaryYoy,primaryToYearEnd,unitMetric,trained,sizeHealthy,growthHealthy,youthLeadershipHealthy,outdoorHealthy,ulTrained,ccTrained,officersTrained,retention,metricYouth,metricYouthPriorYear,metricYouthYoy,tenureMonths,renewalDate,renewalStatus,charterOrg,focus,lawFire,health
374510,1,CST 1,CST 1,"Aloha Council, BSA 104",Komohana 02,Club,2013,Club 2013,3,0,3,-3,1,0,False,False,False,False,False,False,False,False,0,3,0,-3,40,2026-12-31,,Kaala Soaring Company Inc,Aviation,,Needs attention
374978,1,CST 1,CST 1,"Aloha Council, BSA 104",Kauai 07,Club,2511,Club 2511,7,0,7,-6,2,0,False,False,False,False,False,False,False,False,0,7,0,-6,38,2026-12-31,,"Hawaii Youth Maritime Programs, Inc",Maritime,,Needs attention
90555,1,CST 1,CST 1,"Aloha Council, BSA 104",Komohana 02,Post,2013,Post 2013,3,3,0,0,0,0.0,False,False,False,False,False,False,False,False,0.75,3,4,-1,233,2026-12-31,,Kaala Soaring Company Inc,Aviation,,Needs attention
348839,1,CST 1,CST 1,"Aloha Council, BSA 104",Komohana 02,Post,2043,Post 2043,6,4,6,6,0,1.0,False,False,True,False,False,False,False,False,0.0,6,0,6,115,2026-12-31,,Honolulu Fire Department,Fire,Fire,Watch
367048,1,CST 1,CST 1,"Aloha Council, BSA 104",Hikina 01,Post,2371,Post 2371,22,0,22,-4,-4,1.0,False,True,False,False,False,False,False,False,0.84,22,24,-2,270,2026-05-31,Renewal Not Started,Honolulu Police Department,Law enforcement,Law,Watch
367003,1,CST 1,CST 1,"Aloha Council, BSA 104",Komohana 02,Post,2401,Post 2401,2,7,2,0,0,0.0,False,False,False,False,False,False,False,False,1.0,2,2,0,471,2026-12-31,,US Customs And Border Protection,Law / Fire,,Needs attention
220144,1,CST 1,CST 1,Blue Mountain Council 604,Council Areas 20,Post,311,Post 311,15,5,15,-19,-15,1.0,False,True,False,False,False,False,False,False,0.3,15,49,-34,246,2026-12-31,,College Place Presbyterian Church Men,General,,Needs attention
379071,1,CST 1,CST 1,Blue Mountain Council 604,Council Areas 20,Post,1053,Post 1053,3,4,3,3,0,1.0,False,False,True,False,False,False,False,False,0.0,3,0,3,12,2026-10-31,,Franklin County Sheriffs Office,Law enforcement,Law,Needs attention
8867,1,CST 1,CST 1,Cascade Pacific Council 492,Timberline 06,Post,686,Post 686,8,9,8,-1,0,2.0,True,True,False,False,False,True,True,False,0.12,8,8,0,806,2027-03-31,,Optimist Club of Gresham,General,,Watch
379686,1,CST 1,CST 1,Chief Seattle Council 609,Seattle 02,Post,84,Post 84,210,23,210,210,0,2.0,False,True,True,False,False,False,False,False,0.0,210,0,210,12,2027-01-31,,Post 84,General,,Strong
107161,1,CST 1,CST 1,Chief Seattle Council 609,Peninsulas 01,Post,1003,Post 1003,2,3,2,-2,-2,0.0,False,False,False,False,False,False,False,False,0.5,2,4,-2,186,2026-12-31,,Clallam County Fire District 3,Fire,Fire,Needs attention
197484,1,CST 1,CST 1,Chief Seattle Council 609,Peninsulas 01,Post,1514,Post 1514,7,3,7,-1,0,2.0,False,True,True,False,False,False,False,False,2.0,7,0,7,30,2026-12-31,,Kitsap County Sheriffs,Law enforcement,Law,Watch
372911,1,CST 1,CST 1,Chief Seattle Council 609,Grand Columbia 05,Post,1910,Post 1910,5,5,5,-4,-2,0.0,False,False,False,False,False,False,False,False,0.22,5,9,-4,40,2026-12-31,,Othello Police Department,Law enforcement,Law,Needs attention
